レースID,年,月,日,土曜日,日曜日,その他,新馬,未勝利,1勝クラス,2勝クラス,3勝クラス,オープン,G1,G2,G3,L,OP,JG1,JG2,JG3,芝,ダート,障害,距離,札幌競馬場,函館競馬場,福島競馬場,新潟競馬場,中山競馬場,東京競馬場,中京競馬場,京都競馬場,阪神競馬場,小倉競馬場,右,左,その他,A,B,C,D,外,内,2周,晴,曇,小雨,雨,小雪,雪,天候:その他,良,稍,重,不,3歳,2歳,3歳以上,4歳以上,牝馬限定戦,馬齢,定量,別定,ハンデ,頭数,枠番,馬番,馬名,馬ID,牡馬,牝馬,騙馬,馬齢,斤量,騎手,騎手ID,美浦,栗東,海外,調教師,調教師ID,馬体重,増減,単勝オッズ,最低複勝オッズ,最高複勝オッズ,単勝人気,オッズ取得時刻
202503020607,2025,07,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-1,1,1,ウエストチェリー,-10,0,1,0,4,56.0,柴田大,-10,1,0,0,粕谷,-10,450,0,127.8,16.5,24.2,12,
202503020607,2025,07,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-1,2,2,キープサインオン,-10,1,0,0,3,55.0,横山典,-10,1,0,0,加藤征,-10,470,-10,5.3,1.9,2.6,3,
202503020607,2025,07,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-1,2,3,レオプルミエール,-10,1,0,0,5,55.0,佐藤,-10,1,0,0,杉浦,-10,420,-2,11.6,3.1,4.4,6,
202503020607,2025,07,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-1,3,4,テンプーシャオン,-10,1,0,0,5,58.0,菅原明,-10,1,0,0,和田勇,-10,430,0,8.4,2.0,2.7,5,
202503020607,2025,07,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-1,3,5,アフィリオン,-10,0,0,1,4,58.0,杉原,-10,1,0,0,古賀,-10,478,6,101.6,17.5,25.7,11,
202503020607,2025,07,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-1,4,6,ティーラミレス,-10,0,1,0,5,54.0,今村,-10,1,0,0,辻,-10,460,4,20.6,4.7,6.8,8,
202503020607,2025,07,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-1,4,7,アトリウムチャペル,-10,0,1,0,4,56.0,津村,-10,1,0,0,浅利,-10,420,-6,8.0,2.2,3.1,4,
202503020607,2025,07,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-1,5,8,ニシノアヤカゼ,-10,0,1,0,4,56.0,横山琉,-10,1,0,0,鈴木伸,-10,456,0,16.1,2.8,3.9,7,
202503020607,2025,07,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-1,5,9,クリノゴッホ,-10,0,0,1,5,55.0,石田,-10,1,0,0,岩戸,-10,446,-2,30.3,4.2,6.0,10,
202503020607,2025,07,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-1,6,10,ビービーエフォート,-10,0,1,0,3,50.0,遠藤,-10,1,0,0,高柳瑞,-10,420,10,4.2,1.7,2.2,2,
