レースID,年,月,日,土曜日,日曜日,その他,新馬,未勝利,1勝クラス,2勝クラス,3勝クラス,オープン,G1,G2,G3,L,OP,JG1,JG2,JG3,芝,ダート,障害,距離,札幌競馬場,函館競馬場,福島競馬場,新潟競馬場,中山競馬場,東京競馬場,中京競馬場,京都競馬場,阪神競馬場,小倉競馬場,右,左,その他,A,B,C,D,外,内,2周,晴,曇,小雨,雨,小雪,雪,天候:その他,良,稍,重,不,3歳,2歳,3歳以上,4歳以上,牝馬限定戦,馬齢,定量,別定,ハンデ,頭数,枠番,馬番,馬名,馬ID,牡馬,牝馬,騙馬,馬齢,斤量,騎手,騎手ID,美浦,栗東,海外,調教師,調教師ID,馬体重,増減,単勝オッズ,最低複勝オッズ,最高複勝オッズ,単勝人気,オッズ取得時刻
202503020603,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,1,1,コスモクイーンビー,-10,0,1,0,3,55.0,野中,-10,1,0,0,岩戸,-10,484,12,25.3,5.8,9.5,9,
202503020603,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,1,2,ディアボリカドンナ,-10,0,1,0,3,53.0,今村,-10,1,0,0,武井,-10,446,-10,5.3,1.8,2.7,4,
202503020603,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,2,3,パリモード,-10,0,1,0,3,52.0,佐藤,-10,1,0,0,的場,-10,422,2,349.1,37.5,63.2,16,
202503020603,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,2,4,ヨルハ,-10,0,1,0,3,55.0,菅原明,-10,1,0,0,小島,-10,434,8,46.7,7.2,11.8,10,
202503020603,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,3,5,バレエコア,-10,0,1,0,3,55.0,荻野極,-10,1,0,0,鈴木慎,-10,476,-2,13.9,2.6,4.1,5,
202503020603,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,3,6,テクスチャー,-10,0,1,0,3,55.0,石橋脩,-10,1,0,0,和田郎,-10,438,28,163.2,23.1,38.9,14,
202503020603,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,4,7,トレベルフィーユ,-10,0,1,0,3,55.0,原,-10,1,0,0,竹内,-10,394,-2,169.2,28.5,48.0,15,
202503020603,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,4,8,ミサトレッドダイヤ,-10,0,1,0,3,52.0,石神道,-10,1,0,0,高橋文,-10,464,2,14.3,2.8,4.5,6,
202503020603,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,5,9,エリナ,-10,0,1,0,3,55.0,武藤,-10,1,0,0,戸田,-10,408,-6,150.2,19.9,33.4,13,
202503020603,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,5,10,ヴィヴィッドムーン,-10,0,1,0,3,55.0,大野,-10,1,0,0,古賀,-10,490,4,17.5,4.1,6.6,7,
