レースID,年,月,日,土曜日,日曜日,その他,新馬,未勝利,1勝クラス,2勝クラス,3勝クラス,オープン,G1,G2,G3,L,OP,JG1,JG2,JG3,芝,ダート,障害,距離,札幌競馬場,函館競馬場,福島競馬場,新潟競馬場,中山競馬場,東京競馬場,中京競馬場,京都競馬場,阪神競馬場,小倉競馬場,右,左,その他,A,B,C,D,外,内,2周,晴,曇,小雨,雨,小雪,雪,天候:その他,良,稍,重,不,3歳,2歳,3歳以上,4歳以上,牝馬限定戦,馬齢,定量,別定,ハンデ,頭数,枠番,馬番,馬名,馬ID,牡馬,牝馬,騙馬,馬齢,斤量,騎手,騎手ID,美浦,栗東,海外,調教師,調教師ID,馬体重,増減,単勝オッズ,最低複勝オッズ,最高複勝オッズ,単勝人気,オッズ取得時刻
202502011003,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,1,1,チェンジオブハート,-10,1,0,0,3,54.0,舟山,-10,1,0,0,田中博,-10,480,6,8.4,2.6,3.6,4,
202502011003,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,1,2,ファリア,-10,1,0,0,3,54.0,古川奈,-10,1,0,0,土田,-10,444,-6,92.0,13.6,19.7,14,
202502011003,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,2,3,フリアフロリダ,-10,0,1,0,3,54.0,佐々木,-10,0,1,0,小栗,-10,462,4,4.2,1.6,2.0,1,
202502011003,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,2,4,ダークメモリー,-10,0,1,0,3,54.0,松本,-10,0,1,0,田中克,-10,468,0,17.4,5.9,8.4,9,
202502011003,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,3,5,ロードステイタス,-10,1,0,0,3,57.0,丹内,-10,0,1,0,四位,-10,456,0,12.6,3.2,4.5,7,
202502011003,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,3,6,キョウエイレッド,-10,0,1,0,3,52.0,柴田裕,-10,1,0,0,武市,-10,406,16,417.6,67.0,96.5,16,
202502011003,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,4,7,フィリグラン,-10,0,1,0,3,55.0,横山武,-10,0,1,0,森田,-10,418,0,5.4,1.7,2.3,3,
202502011003,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,4,8,ブラヴォケラトプス,-10,1,0,0,3,53.0,小林美,-10,1,0,0,辻,-10,508,2,9.9,2.2,3.0,5,
202502011003,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,5,9,エムティキング,-10,1,0,0,3,57.0,松岡,-10,1,0,0,小野,-10,442,8,22.3,4.6,6.5,11,
202502011003,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,5,10,セイルロケット,-10,1,0,0,3,54.0,和田陽,-10,0,1,0,橋口,-10,452,-2,20.0,4.7,6.6,10,
202502011003,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,6,11,ブロンドエール,-10,0,1,0,3,55.0,鮫島駿,-10,0,1,0,中村,-10,438,10,82.0,15.6,22.6,13,
202502011003,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,6,12,テキサスツイスター,-10,1,0,0,3,57.0,武豊,-10,0,1,0,須貝,-10,496,-8,16.9,5.5,7.7,8,
202502011003,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,7,13,ビリオネアボーイ,-10,1,0,0,3,57.0,藤岡佑,-10,0,1,0,新谷,-10,482,0,5.1,2.0,2.6,2,
202502011003,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,7,14,ウインコンパス,-10,1,0,0,3,57.0,黛,-10,0,1,0,西園正,-10,442,2,207.6,26.7,38.6,15,
202502011003,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,8,15,ラブカマクフィー,-10,0,1,0,3,55.0,吉田隼,-10,1,0,0,田島,-10,420,2,43.0,6.9,9.8,12,
202502011003,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,8,16,ルブリアン,-10,1,0,0,3,54.0,鷲頭,-10,0,1,0,佐々木,-10,488,0,12.5,2.8,3.8,6,
