レースID,年,月,日,土曜日,日曜日,その他,新馬,未勝利,1勝クラス,2勝クラス,3勝クラス,オープン,G1,G2,G3,L,OP,JG1,JG2,JG3,芝,ダート,障害,距離,札幌競馬場,函館競馬場,福島競馬場,新潟競馬場,中山競馬場,東京競馬場,中京競馬場,京都競馬場,阪神競馬場,小倉競馬場,右,左,その他,A,B,C,D,外,内,2周,晴,曇,小雨,雨,小雪,雪,天候:その他,良,稍,重,不,3歳,2歳,3歳以上,4歳以上,牝馬限定戦,馬齢,定量,別定,ハンデ,頭数,枠番,馬番,馬名,馬ID,牡馬,牝馬,騙馬,馬齢,斤量,騎手,騎手ID,美浦,栗東,海外,調教師,調教師ID,馬体重,増減,単勝オッズ,最低複勝オッズ,最高複勝オッズ,単勝人気,オッズ取得時刻
202502011004,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,1,1,レクエルド,-10,1,0,0,3,57.0,服部茂,-10,1,0,0,奥平,-10,488,10,119.0,12.5,53.2,13,
202502011004,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,2,2,セイスイミリオン,-10,1,0,0,3,57.0,松岡,-10,1,0,0,堀内,-10,482,-6,27.5,2.6,9.9,8,
202502011004,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,3,3,ハクサンリバーブ,-10,1,0,0,3,57.0,丹内,-10,1,0,0,松山,-10,468,-2,28.3,4.0,16.0,9,
202502011004,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,4,4,ウェカピポ,-10,1,0,0,3,57.0,佐々木,-10,1,0,0,矢嶋,-10,496,6,20.5,4.9,19.8,6,
202502011004,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,4,5,ロードスカイブルー,-10,1,0,0,3,57.0,横山和,-10,1,0,0,和田勇,-10,470,4,1.6,1.1,1.1,1,
202502011004,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,5,6,ジョードリウム,-10,1,0,0,3,57.0,横山武,-10,0,1,0,清水久,-10,516,12,7.5,1.6,5.3,2,
202502011004,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,5,7,メイズ,-10,0,1,0,3,55.0,黛,-10,1,0,0,森一,-10,468,-2,94.1,12.2,51.9,12,
202502011004,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,6,8,デコピン,-10,1,0,0,3,54.0,舟山,-10,1,0,0,村田,-10,466,2,43.2,6.2,25.4,10,
202502011004,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,6,9,ワンダーヴァッフェ,-10,0,0,1,3,54.0,古川奈,-10,0,1,0,小崎,-10,402,2,71.8,8.2,34.4,11,
202502011004,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,7,10,オロパタジン,-10,1,0,0,3,53.0,小林美,-10,1,0,0,相沢,-10,470,-2,11.6,2.9,11.1,5,
202502011004,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,7,11,ブラックレーション,-10,1,0,0,3,56.0,松本,-10,0,1,0,本田,-10,532,-4,8.0,1.6,5.5,3,
202502011004,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,8,12,タイキフィアリーベ,-10,1,0,0,3,57.0,川又,-10,0,1,0,中尾,-10,476,4,25.1,3.8,15.1,7,
202502011004,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,8,13,トモジャイブ,-10,1,0,0,3,54.0,鷲頭,-10,0,1,0,大根田,-10,484,0,10.7,1.9,6.7,4,
