レースID,30分前,10分前,5分前,馬番,単勝オッズ,最小複勝オッズ,最大複勝オッズ,人気,取得時間
202502011008,1,0,0,7,1.9,1.1,1.2,1,1158
202502011008,1,0,0,3,3.7,1.2,1.9,2,1158
202502011008,1,0,0,10,6.6,1.7,3.1,3,1158
202502011008,1,0,0,11,8.9,1.6,3.1,4,1158
202502011008,1,0,0,4,17.8,2.7,5.6,5,1158
202502011008,1,0,0,6,19.0,2.9,5.9,6,1158
202502011008,1,0,0,1,20.0,2.2,4.4,7,1158
202502011008,1,0,0,9,55.4,6.0,13.0,8,1158
202502011008,1,0,0,8,72.4,7.1,15.4,9,1158
202502011008,1,0,0,12,94.8,8.6,18.8,10,1158
202502011008,1,0,0,2,201.7,14.8,32.7,11,1158
202502011008,1,0,0,5,223.1,15.5,34.3,12,1158
