レースID,30分前,10分前,5分前,馬番,単勝オッズ,最小複勝オッズ,最大複勝オッズ,人気,取得時間
202503020603,1,0,0,13,3.2,1.2,1.5,1,1158
202503020603,1,0,0,14,4.8,1.6,2.4,2,1158
202503020603,1,0,0,12,5.0,1.5,2.2,3,1158
202503020603,1,0,0,2,5.3,1.8,2.7,4,1158
202503020603,1,0,0,5,13.9,2.6,4.1,5,1158
202503020603,1,0,0,8,14.3,2.8,4.5,6,1158
202503020603,1,0,0,10,17.5,4.1,6.6,7,1158
202503020603,1,0,0,16,23.9,4.4,7.1,8,1158
202503020603,1,0,0,1,25.3,5.8,9.5,9,1158
202503020603,1,0,0,4,46.7,7.2,11.8,10,1158
202503020603,1,0,0,15,47.0,9.9,16.5,11,1158
202503020603,1,0,0,11,122.8,20.0,33.6,12,1158
202503020603,1,0,0,9,150.2,19.9,33.4,13,1158
202503020603,1,0,0,6,163.2,23.1,38.9,14,1158
202503020603,1,0,0,7,169.2,28.5,48.0,15,1158
202503020603,1,0,0,3,349.1,37.5,63.2,16,1158
