レースID,ワイド,馬連,三連複,馬番1,馬番2,馬番3,30分前,10分前,5分前,オッズ,最低オッズ,最大オッズ,人気,取得時刻
202502011012,0,0,1,2,3,5,1,0,0,5.6,-1.0,-1.0,1,1227
202502011012,0,0,1,2,3,6,1,0,0,9.5,-1.0,-1.0,2,1227
202502011012,0,0,1,2,5,6,1,0,0,10.6,-1.0,-1.0,3,1227
202502011012,0,0,1,1,2,3,1,0,0,11.2,-1.0,-1.0,4,1227
202502011012,0,0,1,1,2,5,1,0,0,11.4,-1.0,-1.0,5,1227
202502011012,0,0,1,3,5,6,1,0,0,13.4,-1.0,-1.0,6,1227
202502011012,0,0,1,1,3,5,1,0,0,15.3,-1.0,-1.0,7,1227
202502011012,0,0,1,1,2,6,1,0,0,16.3,-1.0,-1.0,8,1227
202502011012,0,0,1,2,5,8,1,0,0,21.6,-1.0,-1.0,9,1227
202502011012,0,0,1,1,5,6,1,0,0,23.1,-1.0,-1.0,10,1227
202502011012,0,0,1,1,3,6,1,0,0,26.0,-1.0,-1.0,11,1227
202502011012,0,0,1,2,3,8,1,0,0,30.6,-1.0,-1.0,12,1227
202502011012,0,0,1,3,5,8,1,0,0,31.9,-1.0,-1.0,13,1227
202502011012,0,0,1,2,6,8,1,0,0,37.0,-1.0,-1.0,14,1227
202502011012,0,0,1,5,6,8,1,0,0,38.8,-1.0,-1.0,15,1227
202502011012,0,0,1,2,3,4,1,0,0,42.2,-1.0,-1.0,16,1227
202502011012,0,0,1,2,4,5,1,0,0,42.9,-1.0,-1.0,17,1227
202502011012,0,0,1,2,4,6,1,0,0,44.8,-1.0,-1.0,18,1227
202502011012,0,0,1,1,2,8,1,0,0,54.6,-1.0,-1.0,19,1227
202502011012,0,0,1,1,5,8,1,0,0,54.8,-1.0,-1.0,20,1227
202502011012,0,0,1,3,4,5,1,0,0,62.3,-1.0,-1.0,21,1227
202502011012,0,0,1,3,6,8,1,0,0,63.7,-1.0,-1.0,22,1227
202502011012,0,0,1,1,2,4,1,0,0,64.5,-1.0,-1.0,23,1227
202502011012,0,0,1,1,3,8,1,0,0,68.2,-1.0,-1.0,24,1227
202502011012,0,0,1,4,5,6,1,0,0,75.5,-1.0,-1.0,25,1227
202502011012,0,0,1,1,6,8,1,0,0,86.9,-1.0,-1.0,26,1227
202502011012,0,0,1,1,4,5,1,0,0,90.5,-1.0,-1.0,27,1227
202502011012,0,0,1,3,4,6,1,0,0,98.5,-1.0,-1.0,28,1227
202502011012,0,0,1,1,3,4,1,0,0,104.0,-1.0,-1.0,29,1227
202502011012,0,0,1,2,5,7,1,0,0,114.5,-1.0,-1.0,30,1227
202502011012,0,0,1,1,4,6,1,0,0,118.4,-1.0,-1.0,31,1227
202502011012,0,0,1,2,4,8,1,0,0,135.9,-1.0,-1.0,32,1227
202502011012,0,0,1,2,3,7,1,0,0,139.8,-1.0,-1.0,33,1227
202502011012,0,0,1,3,5,7,1,0,0,153.1,-1.0,-1.0,34,1227
202502011012,0,0,1,4,5,8,1,0,0,156.8,-1.0,-1.0,35,1227
202502011012,0,0,1,5,6,7,1,0,0,170.0,-1.0,-1.0,36,1227
202502011012,0,0,1,2,6,7,1,0,0,199.7,-1.0,-1.0,37,1227
202502011012,0,0,1,3,4,8,1,0,0,200.1,-1.0,-1.0,38,1227
202502011012,0,0,1,1,4,8,1,0,0,210.1,-1.0,-1.0,39,1227
202502011012,0,0,1,4,6,8,1,0,0,215.7,-1.0,-1.0,40,1227
202502011012,0,0,1,1,2,7,1,0,0,237.1,-1.0,-1.0,41,1227
202502011012,0,0,1,1,5,7,1,0,0,249.0,-1.0,-1.0,42,1227
202502011012,0,0,1,1,3,7,1,0,0,252.7,-1.0,-1.0,43,1227
202502011012,0,0,1,3,6,7,1,0,0,278.2,-1.0,-1.0,44,1227
202502011012,0,0,1,5,7,8,1,0,0,331.1,-1.0,-1.0,45,1227
202502011012,0,0,1,2,7,8,1,0,0,370.3,-1.0,-1.0,46,1227
202502011012,0,0,1,1,6,7,1,0,0,372.7,-1.0,-1.0,47,1227
202502011012,0,0,1,6,7,8,1,0,0,385.3,-1.0,-1.0,48,1227
202502011012,0,0,1,3,7,8,1,0,0,401.5,-1.0,-1.0,49,1227
202502011012,0,0,1,4,5,7,1,0,0,472.9,-1.0,-1.0,50,1227
202502011012,0,0,1,3,4,7,1,0,0,499.8,-1.0,-1.0,51,1227
202502011012,0,0,1,2,4,7,1,0,0,503.7,-1.0,-1.0,52,1227
202502011012,0,0,1,1,7,8,1,0,0,516.1,-1.0,-1.0,53,1227
202502011012,0,0,1,4,7,8,1,0,0,580.4,-1.0,-1.0,54,1227
202502011012,0,0,1,4,6,7,1,0,0,586.3,-1.0,-1.0,55,1227
202502011012,0,0,1,1,4,7,1,0,0,675.3,-1.0,-1.0,56,1227
202502011012,0,0,1,2,3,5,1,0,0,5.6,-1.0,-1.0,1,1227
202502011012,0,0,1,2,3,6,1,0,0,9.5,-1.0,-1.0,2,1227
202502011012,0,0,1,2,5,6,1,0,0,10.6,-1.0,-1.0,3,1227
202502011012,0,0,1,1,2,3,1,0,0,11.2,-1.0,-1.0,4,1227
202502011012,0,0,1,1,2,5,1,0,0,11.4,-1.0,-1.0,5,1227
202502011012,0,0,1,3,5,6,1,0,0,13.4,-1.0,-1.0,6,1227
202502011012,0,0,1,1,3,5,1,0,0,15.3,-1.0,-1.0,7,1227
202502011012,0,0,1,1,2,6,1,0,0,16.3,-1.0,-1.0,8,1227
202502011012,0,0,1,2,5,8,1,0,0,21.6,-1.0,-1.0,9,1227
202502011012,0,0,1,1,5,6,1,0,0,23.1,-1.0,-1.0,10,1227
202502011012,0,0,1,1,3,6,1,0,0,26.0,-1.0,-1.0,11,1227
202502011012,0,0,1,2,3,8,1,0,0,30.6,-1.0,-1.0,12,1227
202502011012,0,0,1,3,5,8,1,0,0,31.9,-1.0,-1.0,13,1227
202502011012,0,0,1,2,6,8,1,0,0,37.0,-1.0,-1.0,14,1227
202502011012,0,0,1,5,6,8,1,0,0,38.8,-1.0,-1.0,15,1227
202502011012,0,0,1,2,3,4,1,0,0,42.2,-1.0,-1.0,16,1227
202502011012,0,0,1,2,4,5,1,0,0,42.9,-1.0,-1.0,17,1227
202502011012,0,0,1,2,4,6,1,0,0,44.8,-1.0,-1.0,18,1227
202502011012,0,0,1,1,2,8,1,0,0,54.6,-1.0,-1.0,19,1227
202502011012,0,0,1,1,5,8,1,0,0,54.8,-1.0,-1.0,20,1227
202502011012,0,0,1,3,4,5,1,0,0,62.3,-1.0,-1.0,21,1227
202502011012,0,0,1,3,6,8,1,0,0,63.7,-1.0,-1.0,22,1227
202502011012,0,0,1,1,2,4,1,0,0,64.5,-1.0,-1.0,23,1227
202502011012,0,0,1,1,3,8,1,0,0,68.2,-1.0,-1.0,24,1227
202502011012,0,0,1,4,5,6,1,0,0,75.5,-1.0,-1.0,25,1227
202502011012,0,0,1,1,6,8,1,0,0,86.9,-1.0,-1.0,26,1227
202502011012,0,0,1,1,4,5,1,0,0,90.5,-1.0,-1.0,27,1227
202502011012,0,0,1,3,4,6,1,0,0,98.5,-1.0,-1.0,28,1227
202502011012,0,0,1,1,3,4,1,0,0,104.0,-1.0,-1.0,29,1227
202502011012,0,0,1,2,5,7,1,0,0,114.5,-1.0,-1.0,30,1227
202502011012,0,0,1,1,4,6,1,0,0,118.4,-1.0,-1.0,31,1227
202502011012,0,0,1,2,4,8,1,0,0,135.9,-1.0,-1.0,32,1227
202502011012,0,0,1,2,3,7,1,0,0,139.8,-1.0,-1.0,33,1227
202502011012,0,0,1,3,5,7,1,0,0,153.1,-1.0,-1.0,34,1227
202502011012,0,0,1,4,5,8,1,0,0,156.8,-1.0,-1.0,35,1227
202502011012,0,0,1,5,6,7,1,0,0,170.0,-1.0,-1.0,36,1227
202502011012,0,0,1,2,6,7,1,0,0,199.7,-1.0,-1.0,37,1227
202502011012,0,0,1,3,4,8,1,0,0,200.1,-1.0,-1.0,38,1227
