レースID,30分前,10分前,5分前,馬番,単勝オッズ,最小複勝オッズ,最大複勝オッズ,人気,取得時間
202503020608,1,0,0,2,3.2,1.4,1.8,1,1158
202503020608,1,0,0,3,4.2,1.8,2.5,2,1158
202503020608,1,0,0,4,6.9,1.7,2.3,3,1158
202503020608,1,0,0,12,7.2,1.9,2.6,4,1158
202503020608,1,0,0,5,7.7,2.8,4.1,5,1158
202503020608,1,0,0,14,15.9,2.9,4.2,6,1158
202503020608,1,0,0,15,16.5,2.8,4.0,7,1158
202503020608,1,0,0,13,17.7,3.8,5.6,8,1158
202503020608,1,0,0,11,18.0,4.1,6.0,9,1158
202503020608,1,0,0,9,50.5,9.0,13.6,10,1158
202503020608,1,0,0,10,66.3,8.7,13.1,11,1158
202503020608,1,0,0,6,78.5,11.6,17.5,12,1158
202503020608,1,0,0,1,120.5,16.5,25.1,13,1158
202503020608,1,0,0,7,120.6,26.1,39.6,14,1158
202503020608,1,0,0,8,243.1,50.5,76.6,15,1158
