レースID,ワイド,馬連,三連複,馬番1,馬番2,馬番3,30分前,10分前,5分前,オッズ,最低オッズ,最大オッズ,人気,取得時刻
202502011007,1,0,0,1,2,-1,1,0,0,-1,2.4,2.7,1,1196
202502011007,1,0,0,1,7,-1,1,0,0,-1,3.3,3.9,2,1196
202502011007,1,0,0,1,8,-1,1,0,0,-1,3.5,4.1,3,1196
202502011007,1,0,0,1,3,-1,1,0,0,-1,5.1,5.8,4,1196
202502011007,1,0,0,2,7,-1,1,0,0,-1,5.6,6.8,5,1196
202502011007,1,0,0,2,8,-1,1,0,0,-1,6.5,7.9,6,1196
202502011007,1,0,0,1,10,-1,1,0,0,-1,7.2,8.3,7,1196
202502011007,1,0,0,1,4,-1,1,0,0,-1,7.4,8.4,8,1196
202502011007,1,0,0,1,6,-1,1,0,0,-1,7.5,8.5,9,1196
202502011007,1,0,0,1,13,-1,1,0,0,-1,7.6,8.7,10,1196
202502011007,1,0,0,7,8,-1,1,0,0,-1,7.6,8.8,11,1196
202502011007,1,0,0,2,13,-1,1,0,0,-1,11.5,13.4,12,1196
202502011007,1,0,0,3,8,-1,1,0,0,-1,12.3,13.9,13,1196
202502011007,1,0,0,2,10,-1,1,0,0,-1,13.3,15.6,14,1196
202502011007,1,0,0,6,7,-1,1,0,0,-1,13.5,15.1,15,1196
202502011007,1,0,0,7,10,-1,1,0,0,-1,13.7,15.3,16,1196
202502011007,1,0,0,4,7,-1,1,0,0,-1,13.7,15.3,17,1196
202502011007,1,0,0,3,7,-1,1,0,0,-1,13.9,15.8,18,1196
202502011007,1,0,0,6,8,-1,1,0,0,-1,14.3,15.9,19,1196
202502011007,1,0,0,1,5,-1,1,0,0,-1,14.4,16.4,20,1196
202502011007,1,0,0,2,3,-1,1,0,0,-1,14.6,17.4,21,1196
202502011007,1,0,0,4,8,-1,1,0,0,-1,14.7,16.4,22,1196
202502011007,1,0,0,8,10,-1,1,0,0,-1,15.0,16.7,23,1196
202502011007,1,0,0,2,4,-1,1,0,0,-1,16.4,19.2,24,1196
202502011007,1,0,0,1,12,-1,1,0,0,-1,17.5,19.9,25,1196
202502011007,1,0,0,5,7,-1,1,0,0,-1,23.1,25.4,26,1196
202502011007,1,0,0,2,6,-1,1,0,0,-1,23.3,27.3,27,1196
202502011007,1,0,0,2,5,-1,1,0,0,-1,25.3,29.0,28,1196
202502011007,1,0,0,3,6,-1,1,0,0,-1,26.7,29.0,29,1196
202502011007,1,0,0,7,13,-1,1,0,0,-1,28.1,31.4,30,1196
