レースID,30分前,10分前,5分前,馬番,単勝オッズ,最小複勝オッズ,最大複勝オッズ,人気,取得時間
202502011006,0,0,1,15,1.8,1.1,1.4,1,1158
202502011006,0,0,1,12,4.1,1.2,1.7,2,1158
202502011006,0,0,1,3,7.0,1.4,2.4,3,1158
202502011006,0,0,1,9,8.1,1.7,2.9,4,1158
202502011006,0,0,1,8,13.0,2.2,4.1,5,1158
202502011006,0,0,1,7,36.8,5.6,11.0,6,1158
202502011006,0,0,1,5,41.2,4.0,7.8,7,1158
202502011006,0,0,1,2,46.8,4.7,9.1,8,1158
202502011006,0,0,1,4,68.7,5.8,11.4,9,1158
202502011006,0,0,1,6,143.9,12.8,25.8,10,1158
202502011006,0,0,1,11,146.1,12.9,26.1,11,1158
202502011006,0,0,1,14,197.7,17.7,35.8,12,1158
202502011006,0,0,1,13,223.8,17.1,34.6,13,1158
202502011006,0,0,1,1,239.2,27.1,55.2,14,1158
202502011006,0,0,1,10,329.5,23.6,47.9,15,1158
