レースID,30分前,10分前,5分前,馬番,単勝オッズ,最小複勝オッズ,最大複勝オッズ,人気,取得時間
202503020605,0,0,1,12,2.3,1.3,1.6,1,1158
202503020605,0,0,1,11,4.3,1.3,1.8,2,1158
202503020605,0,0,1,4,8.6,1.9,3.0,3,1158
202503020605,0,0,1,8,9.2,2.0,3.2,4,1158
202503020605,0,0,1,3,10.4,2.3,3.7,5,1158
202503020605,0,0,1,10,16.1,3.0,4.9,6,1158
202503020605,0,0,1,14,16.8,3.0,4.9,7,1158
202503020605,0,0,1,5,19.0,3.7,6.1,8,1158
202503020605,0,0,1,13,31.5,5.2,8.9,9,1158
202503020605,0,0,1,6,52.0,6.6,11.3,10,1158
202503020605,0,0,1,1,89.4,14.9,25.8,11,1158
202503020605,0,0,1,7,90.3,11.8,20.4,12,1158
202503020605,0,0,1,2,97.8,14.3,24.8,13,1158
202503020605,0,0,1,9,102.4,10.2,17.6,14,1158
202503020605,0,0,1,15,211.8,27.8,48.2,15,1158
