レースID,30分前,10分前,5分前,馬番,単勝オッズ,最小複勝オッズ,最大複勝オッズ,人気,取得時間
202510020612,0,0,1,16,3.5,1.4,1.8,1,1158
202510020612,0,0,1,8,3.7,1.4,1.9,2,1158
202510020612,0,0,1,11,6.0,1.8,2.5,3,1158
202510020612,0,0,1,3,8.1,2.2,3.2,4,1158
202510020612,0,0,1,2,15.6,3.0,4.5,5,1158
202510020612,0,0,1,15,18.7,4.2,6.3,6,1158
202510020612,0,0,1,6,19.6,4.6,7.0,7,1158
202510020612,0,0,1,7,22.0,3.9,5.9,8,1158
202510020612,0,0,1,4,24.4,5.1,7.8,9,1158
202510020612,0,0,1,13,25.0,5.0,7.6,10,1158
202510020612,0,0,1,14,27.2,4.8,7.3,11,1158
202510020612,0,0,1,5,32.7,6.3,9.6,12,1158
202510020612,0,0,1,1,40.2,6.3,9.7,13,1158
202510020612,0,0,1,9,52.3,9.8,15.0,14,1158
202510020612,0,0,1,10,106.3,15.0,23.1,15,1158
