レースID,ワイド,馬連,三連複,馬番1,馬番2,馬番3,30分前,10分前,5分前,オッズ,最低オッズ,最大オッズ,人気,取得時刻
202502011012,0,1,0,2,3,-1,0,0,1,5.0,-1.0,-1.0,1,1226
202502011012,0,1,0,2,5,-1,0,0,1,5.5,-1.0,-1.0,2,1226
202502011012,0,1,0,3,5,-1,0,0,1,6.5,-1.0,-1.0,3,1226
202502011012,0,1,0,2,6,-1,0,0,1,8.3,-1.0,-1.0,4,1226
202502011012,0,1,0,5,6,-1,0,0,1,11.0,-1.0,-1.0,5,1226
202502011012,0,1,0,3,6,-1,0,0,1,13.0,-1.0,-1.0,6,1226
202502011012,0,1,0,1,2,-1,0,0,1,13.7,-1.0,-1.0,7,1226
202502011012,0,1,0,1,5,-1,0,0,1,15.3,-1.0,-1.0,8,1226
202502011012,0,1,0,1,3,-1,0,0,1,16.4,-1.0,-1.0,9,1226
202502011012,0,1,0,1,6,-1,0,0,1,23.0,-1.0,-1.0,10,1226
202502011012,0,1,0,5,8,-1,0,0,1,30.5,-1.0,-1.0,11,1226
202502011012,0,1,0,2,8,-1,0,0,1,32.4,-1.0,-1.0,12,1226
202502011012,0,1,0,3,8,-1,0,0,1,40.5,-1.0,-1.0,13,1226
202502011012,0,1,0,6,8,-1,0,0,1,47.3,-1.0,-1.0,14,1226
202502011012,0,1,0,2,4,-1,0,0,1,51.7,-1.0,-1.0,15,1226
202502011012,0,1,0,1,8,-1,0,0,1,59.7,-1.0,-1.0,16,1226
202502011012,0,1,0,4,5,-1,0,0,1,71.5,-1.0,-1.0,17,1226
202502011012,0,1,0,3,4,-1,0,0,1,77.9,-1.0,-1.0,18,1226
202502011012,0,1,0,1,4,-1,0,0,1,90.2,-1.0,-1.0,19,1226
202502011012,0,1,0,4,6,-1,0,0,1,91.1,-1.0,-1.0,20,1226
202502011012,0,1,0,2,7,-1,0,0,1,153.2,-1.0,-1.0,21,1226
202502011012,0,1,0,5,7,-1,0,0,1,166.4,-1.0,-1.0,22,1226
202502011012,0,1,0,4,8,-1,0,0,1,176.8,-1.0,-1.0,23,1226
202502011012,0,1,0,3,7,-1,0,0,1,185.7,-1.0,-1.0,24,1226
202502011012,0,1,0,6,7,-1,0,0,1,231.1,-1.0,-1.0,25,1226
202502011012,0,1,0,7,8,-1,0,0,1,270.9,-1.0,-1.0,26,1226
202502011012,0,1,0,1,7,-1,0,0,1,282.3,-1.0,-1.0,27,1226
202502011012,0,1,0,4,7,-1,0,0,1,395.2,-1.0,-1.0,28,1226
