レースID,30分前,10分前,5分前,馬番,単勝オッズ,最小複勝オッズ,最大複勝オッズ,人気,取得時間
202510020601,0,0,1,12,1.5,1.1,1.1,1,1158
202510020601,0,0,1,11,6.3,1.3,3.0,2,1158
202510020601,0,0,1,7,11.6,1.7,5.0,3,1158
202510020601,0,0,1,4,13.1,1.7,5.2,4,1158
202510020601,0,0,1,1,17.0,2.3,7.2,5,1158
202510020601,0,0,1,6,18.2,2.8,9.2,6,1158
202510020601,0,0,1,9,21.8,3.9,13.1,7,1158
202510020601,0,0,1,3,32.1,5.7,20.1,8,1158
202510020601,0,0,1,5,35.6,4.6,15.9,9,1158
202510020601,0,0,1,2,41.0,7.3,25.7,10,1158
202510020601,0,0,1,8,43.2,5.7,20.1,11,1158
202510020601,0,0,1,10,95.0,11.2,40.1,12,1158
