レースID,30分前,10分前,5分前,馬番,単勝オッズ,最小複勝オッズ,最大複勝オッズ,人気,取得時間
202502011010,0,0,1,10,2.4,1.3,1.5,1,1158
202502011010,0,0,1,12,3.9,1.4,1.8,2,1158
202502011010,0,0,1,2,8.4,2.2,3.5,3,1158
202502011010,0,0,1,8,11.6,2.4,3.7,4,1158
202502011010,0,0,1,4,11.9,2.9,4.5,5,1158
202502011010,0,0,1,9,15.7,2.6,4.1,6,1158
202502011010,0,0,1,6,15.7,2.4,3.8,7,1158
202502011010,0,0,1,11,17.7,3.7,6.0,8,1158
202502011010,0,0,1,1,22.2,3.3,5.2,9,1158
202502011010,0,0,1,3,27.9,4.5,7.3,10,1158
202502011010,0,0,1,7,31.5,4.5,7.3,11,1158
202502011010,0,0,1,5,106.1,10.8,17.5,12,1158
