レースID,30分前,10分前,5分前,馬番,単勝オッズ,最小複勝オッズ,最大複勝オッズ,人気,取得時間
202503020606,0,0,1,15,1.9,1.1,1.1,1,1158
202503020606,0,0,1,10,3.7,1.2,2.9,2,1158
202503020606,0,0,1,6,6.8,1.5,4.4,3,1158
202503020606,0,0,1,13,8.5,1.6,4.7,4,1158
202503020606,0,0,1,3,10.4,1.8,5.4,5,1158
202503020606,0,0,1,5,25.8,3.0,9.9,6,1158
202503020606,0,0,1,14,52.5,5.2,17.9,7,1158
202503020606,0,0,1,9,69.7,6.7,23.5,8,1158
202503020606,0,0,1,7,105.4,10.5,37.8,9,1158
202503020606,0,0,1,2,151.0,15.7,57.0,10,1158
202503020606,0,0,1,11,194.1,16.7,60.8,11,1158
202503020606,0,0,1,1,241.5,19.5,71.2,12,1158
202503020606,0,0,1,8,248.7,22.4,81.9,13,1158
202503020606,0,0,1,4,311.1,32.0,117.3,14,1158
202503020606,0,0,1,12,323.5,35.1,128.7,15,1158
