レースID,30分前,10分前,5分前,馬番,単勝オッズ,最小複勝オッズ,最大複勝オッズ,人気,取得時間
202502011003,0,0,1,3,4.2,1.6,2.0,1,1158
202502011003,0,0,1,13,5.1,2.0,2.6,2,1158
202502011003,0,0,1,7,5.4,1.7,2.3,3,1158
202502011003,0,0,1,1,8.4,2.6,3.6,4,1158
202502011003,0,0,1,8,9.9,2.2,3.0,5,1158
202502011003,0,0,1,16,12.5,2.8,3.8,6,1158
202502011003,0,0,1,5,12.6,3.2,4.5,7,1158
202502011003,0,0,1,12,16.9,5.5,7.7,8,1158
202502011003,0,0,1,4,17.4,5.9,8.4,9,1158
202502011003,0,0,1,10,20.0,4.7,6.6,10,1158
202502011003,0,0,1,9,22.3,4.6,6.5,11,1158
202502011003,0,0,1,15,43.0,6.9,9.8,12,1158
202502011003,0,0,1,11,82.0,15.6,22.6,13,1158
202502011003,0,0,1,2,92.0,13.6,19.7,14,1158
202502011003,0,0,1,14,207.6,26.7,38.6,15,1158
202502011003,0,0,1,6,417.6,67.0,96.5,16,1158
