レースID,30分前,10分前,5分前,馬番,単勝オッズ,最小複勝オッズ,最大複勝オッズ,人気,取得時間
202502011002,0,1,0,5,2.6,1.2,1.6,1,1158
202502011002,0,1,0,10,3.5,1.2,1.6,2,1158
202502011002,0,1,0,1,4.1,1.4,2.2,3,1158
202502011002,0,1,0,8,10.6,1.9,3.0,4,1158
202502011002,0,1,0,6,12.0,2.4,4.0,5,1158
202502011002,0,1,0,4,13.1,2.3,3.9,6,1158
202502011002,0,1,0,14,31.3,5.1,8.9,7,1158
202502011002,0,1,0,7,44.0,5.6,9.8,8,1158
202502011002,0,1,0,12,63.1,7.0,12.3,9,1158
202502011002,0,1,0,11,81.1,12.5,22.5,10,1158
202502011002,0,1,0,9,85.6,9.9,17.6,11,1158
202502011002,0,1,0,3,151.0,14.4,25.8,12,1158
202502011002,0,1,0,2,157.0,14.6,26.2,13,1158
