レースID,ワイド,馬連,三連複,馬番1,馬番2,馬番3,30分前,10分前,5分前,オッズ,最低オッズ,最大オッズ,人気,取得時刻
202503020608,0,1,0,2,3,-1,0,1,0,8.3,-1.0,-1.0,1,1205
202503020608,0,1,0,2,4,-1,0,1,0,11.1,-1.0,-1.0,2,1205
202503020608,0,1,0,3,4,-1,0,1,0,13.0,-1.0,-1.0,3,1205
202503020608,0,1,0,2,12,-1,0,1,0,13.8,-1.0,-1.0,4,1205
202503020608,0,1,0,4,12,-1,0,1,0,16.5,-1.0,-1.0,5,1205
202503020608,0,1,0,3,12,-1,0,1,0,17.5,-1.0,-1.0,6,1205
202503020608,0,1,0,2,5,-1,0,1,0,21.1,-1.0,-1.0,7,1205
202503020608,0,1,0,3,5,-1,0,1,0,25.2,-1.0,-1.0,8,1205
202503020608,0,1,0,4,5,-1,0,1,0,28.2,-1.0,-1.0,9,1205
202503020608,0,1,0,2,15,-1,0,1,0,31.1,-1.0,-1.0,10,1205
202503020608,0,1,0,5,12,-1,0,1,0,32.7,-1.0,-1.0,11,1205
202503020608,0,1,0,4,14,-1,0,1,0,33.9,-1.0,-1.0,12,1205
202503020608,0,1,0,12,15,-1,0,1,0,34.0,-1.0,-1.0,13,1205
202503020608,0,1,0,2,14,-1,0,1,0,36.4,-1.0,-1.0,14,1205
202503020608,0,1,0,2,11,-1,0,1,0,36.5,-1.0,-1.0,15,1205
202503020608,0,1,0,4,15,-1,0,1,0,38.0,-1.0,-1.0,16,1205
202503020608,0,1,0,12,14,-1,0,1,0,39.4,-1.0,-1.0,17,1205
202503020608,0,1,0,2,13,-1,0,1,0,40.3,-1.0,-1.0,18,1205
202503020608,0,1,0,3,11,-1,0,1,0,40.5,-1.0,-1.0,19,1205
202503020608,0,1,0,3,15,-1,0,1,0,43.6,-1.0,-1.0,20,1205
202503020608,0,1,0,3,14,-1,0,1,0,45.1,-1.0,-1.0,21,1205
202503020608,0,1,0,12,13,-1,0,1,0,47.5,-1.0,-1.0,22,1205
202503020608,0,1,0,4,11,-1,0,1,0,49.0,-1.0,-1.0,23,1205
202503020608,0,1,0,11,12,-1,0,1,0,53.2,-1.0,-1.0,24,1205
202503020608,0,1,0,4,13,-1,0,1,0,59.2,-1.0,-1.0,25,1205
202503020608,0,1,0,3,13,-1,0,1,0,60.5,-1.0,-1.0,26,1205
202503020608,0,1,0,5,14,-1,0,1,0,71.1,-1.0,-1.0,27,1205
202503020608,0,1,0,14,15,-1,0,1,0,72.2,-1.0,-1.0,28,1205
202503020608,0,1,0,5,15,-1,0,1,0,73.7,-1.0,-1.0,29,1205
202503020608,0,1,0,13,15,-1,0,1,0,98.4,-1.0,-1.0,30,1205
