レースID,30分前,10分前,5分前,馬番,単勝オッズ,最小複勝オッズ,最大複勝オッズ,人気,取得時間
202502011001,0,1,0,10,2.5,1.1,1.4,1,1158
202502011001,0,1,0,4,2.7,1.2,1.8,2,1158
202502011001,0,1,0,1,7.2,1.4,2.3,3,1158
202502011001,0,1,0,8,9.0,1.8,3.1,4,1158
202502011001,0,1,0,11,11.2,2.1,3.6,5,1158
202502011001,0,1,0,6,16.3,2.7,4.7,6,1158
202502011001,0,1,0,12,24.8,3.6,6.6,7,1158
202502011001,0,1,0,9,46.4,6.9,13.0,8,1158
202502011001,0,1,0,3,75.2,7.4,14.0,9,1158
202502011001,0,1,0,2,84.0,9.6,18.2,10,1158
202502011001,0,1,0,7,137.0,16.4,31.4,11,1158
202502011001,0,1,0,5,284.4,28.3,54.2,12,1158
