レースID,30分前,10分前,5分前,馬番,単勝オッズ,最小複勝オッズ,最大複勝オッズ,人気,取得時間
202502011009,0,1,0,3,1.8,1.2,1.5,1,1158
202502011009,0,1,0,7,7.0,1.5,2.1,2,1158
202502011009,0,1,0,6,7.3,1.6,2.3,3,1158
202502011009,0,1,0,8,7.4,1.8,2.6,4,1158
202502011009,0,1,0,11,8.5,1.9,2.9,5,1158
202502011009,0,1,0,4,22.1,3.3,5.1,6,1158
202502011009,0,1,0,9,25.5,3.9,6.1,7,1158
202502011009,0,1,0,5,32.7,3.8,5.9,8,1158
202502011009,0,1,0,2,49.8,7.8,12.5,9,1158
202502011009,0,1,0,12,51.2,7.1,11.5,10,1158
202502011009,0,1,0,1,79.7,10.4,16.8,11,1158
