レースID,30分前,10分前,5分前,馬番,単勝オッズ,最小複勝オッズ,最大複勝オッズ,人気,取得時間
202503020604,0,1,0,12,3.0,1.3,1.6,1,1158
202503020604,0,1,0,8,4.8,1.7,2.4,2,1158
202503020604,0,1,0,2,7.5,1.9,2.8,3,1158
202503020604,0,1,0,16,7.8,2.3,3.4,4,1158
202503020604,0,1,0,3,8.3,2.5,3.7,5,1158
202503020604,0,1,0,9,10.3,2.8,4.1,6,1158
202503020604,0,1,0,10,13.0,2.2,3.2,7,1158
202503020604,0,1,0,15,28.1,5.8,9.0,8,1158
202503020604,0,1,0,6,29.8,5.6,8.7,9,1158
202503020604,0,1,0,5,36.2,7.3,11.4,10,1158
202503020604,0,1,0,11,53.4,6.4,9.9,11,1158
202503020604,0,1,0,13,60.4,11.8,18.6,12,1158
202503020604,0,1,0,7,65.9,9.7,15.2,13,1158
202503020604,0,1,0,1,152.7,28.6,45.6,14,1158
202503020604,0,1,0,4,268.7,38.3,61.0,15,1158
202503020604,0,1,0,14,381.3,54.2,86.3,16,1158
