レースID,30分前,10分前,5分前,馬番,単勝オッズ,最小複勝オッズ,最大複勝オッズ,人気,取得時間
202502011011,0,1,0,10,2.7,1.1,1.4,1,1158
202502011011,0,1,0,4,3.0,1.3,1.8,2,1158
202502011011,0,1,0,3,8.3,1.8,2.9,3,1158
202502011011,0,1,0,6,12.0,2.1,3.4,4,1158
202502011011,0,1,0,1,13.6,3.0,5.0,5,1158
202502011011,0,1,0,7,15.0,3.5,6.0,6,1158
202502011011,0,1,0,8,17.6,3.1,5.3,7,1158
202502011011,0,1,0,2,18.9,2.9,5.0,8,1158
202502011011,0,1,0,12,20.4,3.6,6.3,9,1158
202502011011,0,1,0,9,25.9,3.8,6.6,10,1158
202502011011,0,1,0,11,55.9,7.1,12.5,11,1158
202502011011,0,1,0,5,109.0,13.1,23.0,12,1158
