レースID,30分前,10分前,5分前,馬番,単勝オッズ,最小複勝オッズ,最大複勝オッズ,人気,取得時間
202510020604,0,1,0,10,3.0,1.2,1.6,1,1158
202510020604,0,1,0,1,3.4,1.4,2.0,2,1158
202510020604,0,1,0,3,4.4,1.4,2.1,3,1158
202510020604,0,1,0,5,8.6,1.9,3.0,4,1158
202510020604,0,1,0,12,9.7,2.3,3.7,5,1158
202510020604,0,1,0,13,25.8,3.9,6.4,6,1158
202510020604,0,1,0,2,31.4,3.6,5.9,7,1158
202510020604,0,1,0,15,34.7,5.6,9.3,8,1158
202510020604,0,1,0,9,40.4,6.4,10.8,9,1158
202510020604,0,1,0,6,45.5,8.3,14.0,10,1158
202510020604,0,1,0,7,78.5,9.0,15.2,11,1158
202510020604,0,1,0,4,105.5,13.4,22.8,12,1158
202510020604,0,1,0,16,117.9,14.8,25.2,13,1158
202510020604,0,1,0,8,189.0,22.3,38.2,14,1158
202510020604,0,1,0,11,348.9,40.5,69.6,15,1158
202510020604,0,1,0,14,502.9,59.8,102.8,16,1158
