レースID,30分前,10分前,5分前,馬番,単勝オッズ,最小複勝オッズ,最大複勝オッズ,人気,取得時間
202510020611,0,1,0,7,3.0,1.4,1.7,1,1158
202510020611,0,1,0,5,5.5,2.0,2.7,2,1158
202510020611,0,1,0,9,6.7,2.1,2.9,3,1158
202510020611,0,1,0,13,8.6,2.5,3.5,4,1158
202510020611,0,1,0,12,9.1,2.1,2.9,5,1158
202510020611,0,1,0,1,12.5,3.1,4.3,6,1158
202510020611,0,1,0,2,16.5,4.3,6.1,7,1158
202510020611,0,1,0,3,19.3,4.2,6.0,8,1158
202510020611,0,1,0,10,19.7,4.1,5.9,9,1158
202510020611,0,1,0,11,23.2,4.8,6.9,10,1158
202510020611,0,1,0,6,26.7,4.9,7.0,11,1158
202510020611,0,1,0,15,61.5,7.4,10.7,12,1158
202510020611,0,1,0,4,66.4,10.2,14.9,13,1158
202510020611,0,1,0,14,134.9,17.3,25.3,14,1158
202510020611,0,1,0,16,168.1,19.2,28.1,15,1158
202510020611,0,1,0,8,256.0,31.9,46.6,16,1158
