レースID,30分前,10分前,5分前,馬番,単勝オッズ,最小複勝オッズ,最大複勝オッズ,人気,取得時間
202510020609,0,1,0,8,3.0,1.4,1.8,1,1158
202510020609,0,1,0,11,4.3,1.5,2.0,2,1158
202510020609,0,1,0,6,4.8,1.6,2.2,3,1158
202510020609,0,1,0,4,6.4,1.8,2.5,4,1158
202510020609,0,1,0,5,10.9,2.4,3.4,5,1158
202510020609,0,1,0,14,18.7,3.7,5.4,6,1158
202510020609,0,1,0,2,21.8,4.3,6.4,7,1158
202510020609,0,1,0,10,22.5,4.3,6.4,8,1158
202510020609,0,1,0,13,30.1,5.3,7.9,9,1158
202510020609,0,1,0,12,50.9,11.6,17.7,10,1158
202510020609,0,1,0,1,56.0,7.4,11.2,11,1158
202510020609,0,1,0,9,62.1,11.4,17.5,12,1158
202510020609,0,1,0,7,121.3,10.2,15.5,13,1158
202510020609,0,1,0,3,210.9,28.7,43.9,14,1158
